group,label,field,query,operator,highlight
影視作品,獨立橋之戀,all,,,
影視作品,香港之夜,all,,,highlight
影視作品,紅樓夢,all,,,
影視作品,梁山伯與祝英台,all,,,
影視作品,查泰萊夫人,all,,,
影視作品,戰國無賴,all,,,
影視作品,楊貴妃,all,,,
影視作品,南北和,all,,,
影視作品,街童,all,,,
影視作品,書劍恩仇錄,all,,,
影視作品,網中人,all,,,highlight
影視作品,上海灘,all,,,highlight
影視作品,千王之王,all,,,
影視作品,鹿鼎記,all,,,highlight
影視作品,義不容情,all,,,
影視作品,輪流傳,all,,,
影視作品,大時代,all,,,
影視作品,神鵰俠侶,all,,,
影視作品,父子情,all,,,
影視作品,瘋劫,all,,,
關鍵字,中聯,all,,,highlight
關鍵字,光藝,all,,,
關鍵字,電懋,all,,,
關鍵字,邵氏,all,,,
關鍵字,鳳凰,all,,,
關鍵字,自傳,all,,,highlight
關鍵字,對白本,all,,,
關鍵字,新秀歌唱大賽,all,,,
人物,白燕,all,,,
人物,吳楚帆,all,,,
人物,黃曼梨,all,,,
人物,白雪仙,all,,,
人物,葛蘭,all,,,
人物,李小龍,all,,,highlight
人物,李香蘭,all,,,highlight
人物,秦劍,all,,,
人物,楚原,all,,,highlight
人物,胡金銓,all,,,
人物,李翰祥,all,,,highlight
人物,王天林,all,,,highlight
人物,許冠文,all,,,
人物,林子祥,all,,,
人物,張國榮,all,,,
人物,梅艷芳,all,,,
人物,鄭裕玲,all,,,
人物,周星馳,all,,,
人物,梁朝偉,all,,,
人物,劉嘉玲,all
